Area,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.369,,,,,,8.312000000000001,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,17.46,,,,,17.75,,,,,,15.16,,,,,12.35,,,,,,16.91,,,,,20.77,,,,,20.35,,16.93,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,0.978,,,,,1.548,,,,,,,,,,,,,,2.559,,,,,,,4.0,,,,4.239,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.421,,,,,,,,,,2.696,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.133,,,,,,,,,,,,,,,,,4.196000000000001,,,,,,,,,,,7.452999999999999,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333,,,,,,,,,,,,,7.992000000000001,,,,,8.969,,,,,9.667,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.63,,,,,,15.32,,,,,13.34,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,1.521,,,,,,,,,,,,,,,,1.84,,,,,,1.824,,,,,2.301,,,,,,,,,,
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.37,,,,58.19,,,,,,,,,,,51.12,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,,,,,,,,,92.86,,,84.71,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,94.1,,,,,,,,,,,,,,,,95.45,,,,,,,,,105.9,,,,,,,,112.6,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7714,,,,,,0.9008,
