"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Solomon Islands",25,"Arable land area",4101,1967,10.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1972,10.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1977,11.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1982,13.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1987,10.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1992,11.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1997,12.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,2002,15.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,2007,16.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,2012,20.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,2016,20.0,"E","",""
"Tokelau",218,"Arable land area",4101,1962,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1967,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1972,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1977,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1982,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1987,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1992,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,1997,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,2002,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,2007,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,2012,0.0,"E","",""
"Tokelau",218,"Arable land area",4101,2013,0.0,"E","",""
"Tonga",219,"Arable land area",4101,1962,14.0,"E","",""
"Tonga",219,"Arable land area",4101,1967,15.0,"E","",""
"Tonga",219,"Arable land area",4101,1972,17.0,"E","",""
"Tonga",219,"Arable land area",4101,1977,16.0,"E","",""
"Tonga",219,"Arable land area",4101,1982,16.0,"E","",""
"Tonga",219,"Arable land area",4101,1987,16.0,"E","",""
"Tonga",219,"Arable land area",4101,1992,16.0,"E","",""
"Tonga",219,"Arable land area",4101,1997,15.0,"E","",""
"Tonga",219,"Arable land area",4101,2002,15.0,"E","",""
"Tonga",219,"Arable land area",4101,2007,16.0,"E","",""
"Tonga",219,"Arable land area",4101,2012,18.0,"E","",""
"Tonga",219,"Arable land area",4101,2016,18.0,"E","",""
